2023-07-04 05:54:22 status unpacked libk5crypto3:arm64 1.20.1-2
2023-07-04 05:54:22 install libkeyutils1:arm64 <none> 1.6.3-2
2023-07-04 05:54:22 status half-installed libkeyutils1:arm64 1.6.3-2
2023-07-04 05:54:22 status unpacked libkeyutils1:arm64 1.6.3-2
2023-07-04 05:54:23 install libkrb5-3:arm64 <none> 1.20.1-2
2023-07-04 05:54:23 status half-installed libkrb5-3:arm64 1.20.1-2
2023-07-04 05:54:23 status unpacked libkrb5-3:arm64 1.20.1-2
2023-07-04 05:54:23 install libgssapi-krb5-2:arm64 <none> 1.20.1-2
2023-07-04 05:54:23 status half-installed libgssapi-krb5-2:arm64 1.20.1-2
2023-07-04 05:54:23 status unpacked libgssapi-krb5-2:arm64 1.20.1-2
2023-07-04 05:54:23 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
2023-07-04 05:54:23 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2023-07-04 05:54:23 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2023-07-04 05:54:23 install libsasl2-2:arm64 <none> 2.1.28+dfsg-10
2023-07-04 05:54:23 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2023-07-04 05:54:23 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2023-07-04 05:54:23 install libldap-2.5-0:arm64 <none> 2.5.13+dfsg-5
2023-07-04 05:54:23 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2023-07-04 05:54:23 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2023-07-04 05:54:23 install libnghttp2-14:arm64 <none> 1.52.0-1
2023-07-04 05:54:23 status half-installed libnghttp2-14:arm64 1.52.0-1
2023-07-04 05:54:23 status unpacked libnghttp2-14:arm64 1.52.0-1
2023-07-04 05:54:23 install librtmp1:arm64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2023-07-04 05:54:23 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-07-04 05:54:23 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-07-04 05:54:23 install libssh2-1:arm64 <none> 1.10.0-3+b1
2023-07-04 05:54:23 status half-installed libssh2-1:arm64 1.10.0-3+b1
2023-07-04 05:54:23 status unpacked libssh2-1:arm64 1.10.0-3+b1
2023-07-04 05:54:23 install libcurl4:arm64 <none> 7.88.1-10
2023-07-04 05:54:23 status half-installed libcurl4:arm64 7.88.1-10
2023-07-04 05:54:23 status unpacked libcurl4:arm64 7.88.1-10
2023-07-04 05:54:23 install curl:arm64 <none> 7.88.1-10
2023-07-04 05:54:23 status half-installed curl:arm64 7.88.1-10
2023-07-04 05:54:23 status unpacked curl:arm64 7.88.1-10
2023-07-04 05:54:23 install libassuan0:arm64 <none> 2.5.5-5
2023-07-04 05:54:23 status half-installed libassuan0:arm64 2.5.5-5
2023-07-04 05:54:23 status unpacked libassuan0:arm64 2.5.5-5
2023-07-04 05:54:23 install libreadline8:arm64 <none> 8.2-1.3
2023-07-04 05:54:23 status half-installed libreadline8:arm64 8.2-1.3
2023-07-04 05:54:23 status unpacked libreadline8:arm64 8.2-1.3
2023-07-04 05:54:23 install gpgconf:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:23 status half-installed gpgconf:arm64 2.2.40-1.1
2023-07-04 05:54:23 status unpacked gpgconf:arm64 2.2.40-1.1
2023-07-04 05:54:23 install libksba8:arm64 <none> 1.6.3-2
2023-07-04 05:54:23 status half-installed libksba8:arm64 1.6.3-2
2023-07-04 05:54:23 status unpacked libksba8:arm64 1.6.3-2
2023-07-04 05:54:23 install libnpth0:arm64 <none> 1.6-3
2023-07-04 05:54:23 status half-installed libnpth0:arm64 1.6-3
2023-07-04 05:54:23 status unpacked libnpth0:arm64 1.6-3
2023-07-04 05:54:23 install dirmngr:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:23 status half-installed dirmngr:arm64 2.2.40-1.1
2023-07-04 05:54:23 status unpacked dirmngr:arm64 2.2.40-1.1
2023-07-04 05:54:23 install gnupg-l10n:all <none> 2.2.40-1.1
2023-07-04 05:54:23 status half-installed gnupg-l10n:all 2.2.40-1.1
2023-07-04 05:54:23 status unpacked gnupg-l10n:all 2.2.40-1.1
2023-07-04 05:54:23 install gnupg-utils:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:23 status half-installed gnupg-utils:arm64 2.2.40-1.1
2023-07-04 05:54:23 status unpacked gnupg-utils:arm64 2.2.40-1.1
2023-07-04 05:54:23 install libsqlite3-0:arm64 <none> 3.40.1-2
2023-07-04 05:54:23 status half-installed libsqlite3-0:arm64 3.40.1-2
2023-07-04 05:54:23 status unpacked libsqlite3-0:arm64 3.40.1-2
2023-07-04 05:54:23 install gpg:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:23 status half-installed gpg:arm64 2.2.40-1.1
2023-07-04 05:54:23 status unpacked gpg:arm64 2.2.40-1.1
2023-07-04 05:54:23 install libncursesw6:arm64 <none> 6.4-4
2023-07-04 05:54:23 status half-installed libncursesw6:arm64 6.4-4
2023-07-04 05:54:23 status unpacked libncursesw6:arm64 6.4-4
2023-07-04 05:54:23 install pinentry-curses:arm64 <none> 1.2.1-1
2023-07-04 05:54:23 status half-installed pinentry-curses:arm64 1.2.1-1
2023-07-04 05:54:24 status unpacked pinentry-curses:arm64 1.2.1-1
2023-07-04 05:54:24 install gpg-agent:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:24 status half-installed gpg-agent:arm64 2.2.40-1.1
2023-07-04 05:54:24 status unpacked gpg-agent:arm64 2.2.40-1.1
2023-07-04 05:54:24 install gpg-wks-client:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:24 status half-installed gpg-wks-client:arm64 2.2.40-1.1
2023-07-04 05:54:24 status unpacked gpg-wks-client:arm64 2.2.40-1.1
2023-07-04 05:54:24 install gpg-wks-server:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:24 status half-installed gpg-wks-server:arm64 2.2.40-1.1
2023-07-04 05:54:24 status unpacked gpg-wks-server:arm64 2.2.40-1.1
2023-07-04 05:54:24 install gpgsm:arm64 <none> 2.2.40-1.1
2023-07-04 05:54:24 status half-installed gpgsm:arm64 2.2.40-1.1
2023-07-04 05:54:24 status unpacked gpgsm:arm64 2.2.40-1.1
2023-07-04 05:54:24 install gnupg:all <none> 2.2.40-1.1
2023-07-04 05:54:24 status half-installed gnupg:all 2.2.40-1.1
2023-07-04 05:54:24 status unpacked gnupg:all 2.2.40-1.1
2023-07-04 05:54:24 install sq:arm64 <none> 0.27.0-2+b1
2023-07-04 05:54:24 status half-installed sq:arm64 0.27.0-2+b1
2023-07-04 05:54:24 status unpacked sq:arm64 0.27.0-2+b1
2023-07-04 05:54:24 startup packages configure
2023-07-04 05:54:24 configure libksba8:arm64 1.6.3-2 <none>
2023-07-04 05:54:24 status unpacked libksba8:arm64 1.6.3-2
2023-07-04 05:54:24 status half-configured libksba8:arm64 1.6.3-2
2023-07-04 05:54:24 status installed libksba8:arm64 1.6.3-2
2023-07-04 05:54:24 configure libkeyutils1:arm64 1.6.3-2 <none>
2023-07-04 05:54:24 status unpacked libkeyutils1:arm64 1.6.3-2
2023-07-04 05:54:24 status half-configured libkeyutils1:arm64 1.6.3-2
2023-07-04 05:54:24 status installed libkeyutils1:arm64 1.6.3-2
2023-07-04 05:54:24 configure libpsl5:arm64 0.21.2-1 <none>
2023-07-04 05:54:24 status unpacked libpsl5:arm64 0.21.2-1
2023-07-04 05:54:24 status half-configured libpsl5:arm64 0.21.2-1
2023-07-04 05:54:24 status installed libpsl5:arm64 0.21.2-1
2023-07-04 05:54:24 configure wget:arm64 1.21.3-1+b1 <none>
2023-07-04 05:54:24 status unpacked wget:arm64 1.21.3-1+b1
2023-07-04 05:54:24 status half-configured wget:arm64 1.21.3-1+b1
2023-07-04 05:54:24 status installed wget:arm64 1.21.3-1+b1
